after,complaint
mybca ribet kode otp kgak muncull hadeh lma gk bsa gw buang jg ni kartu,1.0
permisi kak  bca mobile registrasi mesin atm  negeri  laku ,0.0
bca mobile masalah kah,1.0
 min top up saldo flash via hp saldo potong kali ga masuk saldo flash  udah tlp cs sampe skrg blm  udah kaya gitu,1.0
mbangking bca eror,1.0
dana ilang ya bca pdhl atm kita udh lapor jg bilang ya lg ya duit gk pdhl yg ,1.0
 min top up saldo flash via hp saldo potong kali ga masuk saldo flash  udah tlp cs sampe skrg blm  udah kaya gitu,1.0
mbangking bca eror,0.0
bosann,0.0
lo,0.0
m,0.0
mantaappp  nonton sampe kelarrrr,0.0
salam jari ganfud oke mantab gas pol menang putar yeeees alhamdulillah,0.0
harga nih yg ide iklan  legend komedi ,0.0
tulongin gue dro ,0.0
senior turun gunung hasil bagong ,0.0
keren abis  ndak ,0.0
mantap guys,0.0
keren konsep kali liyat iklas sampek tuntas,0.0
pinjem ratus ,0.0
saham bbca senin,0.0
bank bca tolong buka cabang kabupaten kaimana  papua barat  biar klu kota buka blokir,1.0
awesome script  acting,0.0
do n t know cash he now in draw,0.0
 tuh contoh tim kreatif bank bca  aja bikin video bagus   bos salah bank swasta,0.0
tim creativenya mind blowing anjiiirrr,0.0
nice bca ingat  kalo dono ya kasihno  sukses om indro ,0.0
campaignnya keren   ,0.0
lupa pilih no ,0.0
ri bagus nih,0.0
keren iklan bca,0.0
tepat tebar jala ,0.0
indro - outdro,0.0
keren pilih tagline ny mantap don  t know  kasih no  yg meranin om indro,0.0
mantabbbzz edukasi  thanks bca,0.0
jdi inget dono indro kasino,0.0
alih profesi,0.0
uji ajar kl kasih no  ku kasih nilai nol mantap ide mantul,0.0
bagus banget ni iklan,0.0
iklan menang award,0.0
makasih bca nasabah bca kreeeeennn,0.0
bca mantap  kali gw tuju china wkwk,0.0
rindu warkop,0.0
nonton iklan serasa nonton netflix,0.0
gila sih  ga kaleng bikin,0.0
bank bca doang yg kalo iklan  w tonton sampe habis  keren bca,0.0
indro gak ajak,0.0
tazima,0.0
kali liat iklan ampe selesai  jargon gampang dono kasino,0.0
gilak iklan,0.0
campuraduk nano nano,0.0
tumben gue liat iklan sampe abis,0.0
setia ama bank ,0.0
bca update informasi utk nasabah  salam u,0.0
terima kasih bca,0.0
anjay  mateng konsep,0.0
gokilll bank bcaa the best,0.0
iklan bca terjuaraaaa ,0.0
kirain film,0.0
campuraduk nano nano,0.0
tumben gue liat iklan sampe abis,0.0
maju,0.0
senggol zharif,0.0
iklan bank bca peduli masyarakat banding ,0.0
gokil keren om indro  min nanya kartu atm ,0.0
luarbiasa bca,0.0
salut team creatif nya bikin iklan keren,0.0
keren iklan great job,0.0
anjir mancing pakai minow gak casting,0.0
serius  iklan baik kali ijin repost min,0.0
per   seri ,0.0
in draw,0.0
keren iklan  cyber crime,0.0
keren banget sih iklan ,0.0
bismillah astagfirullah  allahu akbar allahu aklam ,0.0
korban scam  lapor bca layan  thank you bca sukses,0.0
asli iklan bagus bgt,0.0
langsung nancap pesan otak  hati  do n t know yak kasih no  klik sja,0.0
ngetik iklan cari,0.0
dalm hati indro  nama gua,0.0
hrsnya negara kelola bca ,0.0
bca emang keren  bangga gun ,0.0
lope lope bca ,0.0
ancam broo  ,0.0
in dro ng,0.0
aja dono kasino  yg lg ngomong ga sih hehehe,0.0
oh,0.0
iklan baik   bca emang beda,0.0
bca emang beda bangga nasabah bca ,0.0
umpan casting pakek pelampung gk tu,0.0
ni ikhlas serius ,0.0
bisa konsep iklan bagus kayak gin,0.0
ga sia pake bca,0.0
keren bgt team markom bca,0.0
speechlesss  emang keren advertising nya ,0.0
yok yok kantor batas email blast doang,0.0
iklan yg gak skip  edukasi mantap ,0.0
tetep aja lucu de serius ,0.0
information security awareness  keren iklan edukasi nya phising,0.0
haga asik hansen  asik,0.0
banget nyenggol zharif,0.0
haga asik hansen  asik,0.0
anjiir copywriter nya keren  aktor nya keren banget deliver nya  sukses bca,0.0
sedih pas bilang sahabat baik nya,0.0
sangaatttt suka iklan  sampe ku putar ulang    fans dki,0.0
sedih ya min  video asli yg nonton dikit  yg reupload,0.0
btw ngaku deh  garap orang orang netflix   ,0.0
kerja kominfo ambil bank swasta,0.0
bintang yg ide bikin iklan  keren banget iklan bca,0.0
iklan baik masaaaaa,0.0
bca siapin bajet nasabah video edukasi ga tipu  kalo yg hayaaaa,0.0
pas banget iklan,0.0
koq arti  kalo gak tau asal-usulnya langsung kasih no  nomer  ,0.0
nya nonton sampe  de de  pake bca udah  alhamdulillah gak   dontknowkasihno sadis ,0.0
gile nih bca,0.0
sukses bca  lo ndro ,0.0
kominfo tuhh  ahsudahlahh,0.0
pas tmn sedih ya,0.0
wow  keren iklan layan masyarakat  om indro keren  video sedih ya  kata  teman gue  ,0.0
ijin share dhe dhe  trima kasih,0.0
keren bgt iklan bca yg the best  slogan do n t know kasih no  nama alm dono alm kasino rekan nya de indro keren,0.0
bca baik,0.0
of stardust eviell s kingdom of rejafium mantep uga slogan  iklan nya kreatif  lawa nya dikit  tumben gw suka ama iklan,0.0
anjrit w liat ikan on line sampe habis,0.0
bang isiin rekening ku,0.0
dibrantas hindar ,0.0
bca sih the best layan ok,0.0
pokok nya bca ganti udah beberpa kali pindah kerja tetep bca rekening gaji ku,0.0
kominfo duluan yg bikin iklan masyarakat kayak gin  yg nempel masyarakat awam ,0.0
keren bca,0.0
hrusnya kerja kominfo nih nice move bca,0.0
gokil ide story tellingnya  kali mimin aplod ulang warga bco nasabah bca ig waspada   syarat tentu laku heuheu,0.0
iklan layan masyarakat baik abad,0.0
kereeeennn bgttt oiii bca,0.0
keren ni bca  mantep nabung bca  layan sopan,0.0
keren bnget njir,0.0
wow keren banget iklan bca,0.0
baik bca ,0.0
bagus banget iklan  edukasi yg suka ngeklik sembarang  trgiur yg ga  goodjob bca ,0.0
bank bca makasih ya security nya bantu murah senyum baper,0.0
iklan duduk award no iklan baik   trimakasih bca,0.0
keren sih iklan,0.0
iklan yg selip dik info masyarakat yg awam  good bca,0.0
iklan nya antusias banget nontonnya  keren bca,0.0
gokill iklan the best akir thn,0.0
ikla bagus lihat,0.0
min cuman ken nanya serius mbanking bca buka ya  yg eror system  nya  terimakasi,1.0
keren ui  ending kasih nyesek  om indro potong mafia,0.0
udah setia pake bca,0.0
keren loh info  makas bca,0.0
mbanking ganti nomer daftar d atm ttp gak bs sih kk  gmnaa caranyaa,1.0
ydh,0.0
kak bru hilang atm bca  udh telpon cs bca udh blokier  nunggu hri skrng hr lbur pnjg duh ga enak pikir deh,0.0
gimna curi orang  trus tau pinya tau  cek saldo mbaking apliksi hilang  yg masuk rumh ,0.0
min kalo udh blokir saldo aman gk ,0.0
reply to ganti kartu atm nomor rekening  hasil blokir kartu atm,0.0
kak  kalo atmnya ilang dah  trus mw ngrus kartu tp dgn no rek yg bs gak,0.0
kak block kartu kredit menu admin m banking  tulis listrik kartu tdk daftar gimna yaaaa,0.0
kartu hilang  blokir mbca  eh mbca nya ga  ga ngapain  ya ,1.0
blokir rekening pribadi gimana ya  henti tf an yg gelap,0.0
gmn caranyy  data d pke orang pake kredit  ko ya  sedangkn dah lm g aktif transksi bca ,1.0
admin mohon balas  kalo buka blokir gimana ya ,0.0
klo blokir debit bca mobil mbaking  mbaking nya blokir ga,0.0
kak  kartu tinggal atm sdh blokir  utk ganti kartu lgsg mesin cs digital ga ya ,0.0
kak  dompet ku hilang atm  ktp blokir mbenking  saldo aman  urus lagi gimana ka  ga ktp,0.0
mobile bca  blokir pdhl cek gimana seh min,1.0
min kalo my bca gmna,0.0
kartu hp-nya hilang panik ga  panik ga  tinggal bank,0.0
hlo kak klo bca mobile terbelokir  ka kartu tdk guna ,0.0
blokir mbanking aman gak kak,0.0
tahap expresu gimana min nggak buku tabung  cuman kartu debit  aja,0.0
min tukar kartu atm maksud nya gimana  pakai atm paspor yg hitam  gimana dibtukar kah  trimakasih,0.0
bgt dpt tipu email  akun bodong bgt bca,0.0
akun blokir  gimana min biar buka  cabang bca ,0.0
bagus deh  kalo ngurus nelp  cs bca nya lot layan nya,1.0
pakai surat terang hilang dr polisi kah ,0.0
kak  cek mutasi rekening yg gk internet banking  kalo masuk menu ,0.0
kak klw atm blok bca mobile  bca mobile nya gk dipake  blokir jg  ,0.0
kak kartu kredit sya hilang  kalo blokir kartu kredit ttp bayar cicil nya ya ,0.0
buka blokir mybca  dompet hilang takut disalahgunakan ,0.0
ka kalo kartu debit blokir  buka ka ,0.0
ganti gak sih min  pake buku tabung ganti buku tabung ,0.0
tipu kebnyakn telp  trs nyebutin data lengkap bgt  gmn nih bca aman ny    ,1.0
min nunggu panggil interview cabang stlh lolos psikotes magang bakti emg ya ,0.0
mohon maaf konfirmasi email rekrutmen bca recruitment co id ya ,0.0
k,0.0
oke kali worth bayar admin bulan  full pindah bca ,0.0
nya free nlpn halo bca  thank you bca,0.0
bca emang baik layan,0.0
inovasi bca  cinta bgt bank  bikin jatuh hati ya,0.0
ga bank kamyuh,0.0
pakai bca layan nya mantap gak kayak si pintar kalo nyangkut udah tamat deh,0.0
bcaa tuh bikin sayang muluu deehh,0.0
hallo ka  izin bca kerja kunjung virtual ya ,0.0
reply to registrasi ulang m-bca mesin atm bca dekat ya     ,0.0
download hallo bca mobile  ga masuk  alas  signal internet lemah  buka apk yg aman aman aja ga  gimana min,1.0
knp ya mbangking blokir masukin pin salah pin ny sdh,1.0
halo bca saldo bom saldo potong ya,1.0
bikin bca id udh aktifasi  login gabisa tetep kirim sms,1.0
kalo telfon halo bca karna transfer terima pake verif nama  ttl  gmail ya  pas tf k bank blm terima  udah notifnya-,1.0
udh ngirim uang dri qatar indonesia blom nyampe rekening bca,1.0
tau telp cs bca gratis  nelp cs nya nyambungnya dh gtu ngabisin pulsa bgt tp mslh blm kelar,1.0
daftar halo bca kena pulsa id block ga masuk halo bca,1.0
halo ka tlfon halo bca pake registrasi ya ,1.0
ehhh ko kamren gua telpon pulsa gua sedot ya gimana sii bca,1.0
jam gak layan  may bca blokir pas malam transfer,0.0
bca emang the best   bismillah saham bca,0.0
engga dapet email masuk  engga magang bca,0.0
kemaren pake loh,0.0
waahhh  terima kasih ,0.0
bikin rekening gak bang  aplikasi ,0.0
atm nyangkut sebab nya aja ya  udah nyangkut ,0.0
kk ya rekening dri online gk penrh,1.0
kak pin transaksi aq blokir gimana nya biar buka,0.0
telpon ga angkat angkat,1.0
bang kena potong asuransi jiwa bca gax asuransi kena potong bang gimana bang,1.0
bca emang depan top bgt,0.0
nyari playsote ga halo bca,0.0
moga tahan  bayar hapus ya aplikasi,0.0
lahh gimana sii kmaren pulsa gua abissss nelpon bca,1.0
gimana min pindah mobile bca hp prosesny gagal trs hadeh,1.0
layan maksimal,0.0
cra ganti no mbangking bca tnpa kantor atm minds,0.0
kak dapet kirim negri  arab  kirim tgl april sampe skrang masuk uang nya nya bank disinya tutup kpn masuk nya yaa kak  ga masuk ,1.0
abis ambil uang bca uang lecek ya,1.0
ka ya jadi  tf mutasi saldo ganambah ya ,1.0
nanya nih kak  kalo tutup rekening bca online ngga ya ,0.0
atm gue jg nyangkut nih  bad kualitas kartu atm nya bca,1.0
min  server bca gombalin cewek gak  canda min anggap serius,0.0
kak kalo m-bca blokir cs atm ,0.0
kalo udh rekening bca bs ga sih ka buka rekening  jd rekening atm gtu  maaf nanya,0.0
pokokny mantaaaaaap top markotap  sayabg mesin edc susah,1.0
halo bca  sms dri bca memberitahukan cicil tuju  aju cicil ya kenapa bgtu ,1.0
contact center yg kereeennnn ,0.0
bang  mau kalo adu blokir rekening orang  alas tipu tdk bang,0.0
pake kuota internet ,0.0
contact center yg kereeennnn ,0.0
minn  lupa user id klik bca  hubung halo bca daftar ulang atm ,0.0
tau  nya kalo tlpn halo bca isi pulsa,0.0
sih kartu atm suka nyangkut   males deh pke bca,1.0
dah dowload  layan bagus ramah tamah,0.0
ga pake pake aplikasi butuh kuota internet  bayar  klo ga wifi ,1.0
konten kreator bca gak min ,0.0
gila bca depan consumennya  yg pake telp premium nunggunya,0.0
tolong bca telpon aju slow respon,0.0
zaman pake kartu atm    cardless  hadehhhhh,0.0
armand favorite ,0.0
undang bts  armand  keren nya keterlalyan,0.0
keren ganteng,0.0
ngefans banget armand,0.0
armand,0.0
keren banget,0.0
keren,0.0
maunikut gmn caray,0.0
gaji juta bulan  bayar kuliah nyicil bulan satujuta  bayar kredit hp bensin utk pergi tmpt kerja gatau skrg bingung bayar,0.0
ga investasi reksadana ga ngerti tp alhamdulillah saldo bca tambah alhamdulillah,0.0
gimana bikin bca id nya ,0.0
gmn,0.0
boro gaji gak umr y mkn ajah sisa rb dompet,0.0
liat ulas apps nya   yg kecewa    gmn  ,1.0
welma bca,0.0
gk kak sid ya ,0.0
tau ya  gaji umr sisa - bulan,0.0
 buka browser chrome gogle trus ketik aja street view,0.0
gaji umr,0.0
reksadana gmn sih bank ,0.0
ajarin donk kga ngrti,0.0
kalo nabung d bang bca bagus gk kena pajak or klo gdi isihabis,0.0
udah donwload  udh daftarin  tp bank nya ya  utk daftar ,0.0
pindah mybca ya kak,0.0
klo bcamobile ga ,0.0
top up lg game call of duty mobile mobile legend  update,1.0
orang,0.0
org,0.0
org tiga,0.0
orang,0.0
orang,0.0
 min  ambil uang atm indomaret giling pik  uang dlm cacat sprti bakar  bukti uang,1.0
ka  bikin atm bca online  cetak kartu  daftar kcp rangkasbitung  cetak ditangerang gk ,0.0
hai kak ganti kartu bca mobile gimana ya  gapaham  ,0.0
kak kalo tokennya rusak biar bs aktif lg gmna ya soz msh luar negeri ,0.0
kk kl ganti kartu melaluin mbngking gimna  tutor donk  atm tahap xpresi,0.0
upgrade atm non chip versi chip via menu ganti kartu mbca min ,0.0
kak bikin bca online ambil kartu cetak kartu dimbanking ,0.0
min nanya  atm blokir karna salah pin  kacab bawa buku nya ,0.0
min serius  klo transaksi bca ga ya  ya allah dikntr lg audit  bank tp lm tau,0.0
hai ka ganti chip m banking  yg pilih gpn mastercard ya  sya flazz bca gaada baca gpn si  mohon bantu nya yaa,0.0
bca mantapp poll,0.0
kak barusan ad tlfn pnawaran bca life  tuh tuju  smpe rumah ubah pikir gmn henti program bca life   ,0.0
abis ganti cs digital sabtu kemarin  gampang bgt lgs  keren bca mudah nasabah,0.0
min kalo bca tabung gimana  ubah kartu chip ,0.0
beda kartu gpn master card,0.0
min sms ganti kartu chip  atm ku udah chip nya lo min,0.0
min kalo ganti kartu non chip kartu chip cs gital aktivasi lg atm ,0.0
hallo  aju ganti kartu kewat bca mobile tanggal nov  debet rb tanggal  nya yah,0.0
min kalo bca kartu chip nya gimana ya  digunakkan ,0.0
min  kartu atm bca nih  syarat aja yah  saldo yah ,0.0
gara suruh ganti chip bca daerah gue pd antri ppkm jg nih bikin kerumun aja,0.0
nungguin kartu atm ampe minggu  bca knp kau bgtu lot  ,1.0
ka klo ganti chip  peesyaratanya ,0.0
min ganti katru bca mobile   aktivasi nya gimana yah  ,0.0
ali kece,0.0
permisi kak tanyak  aju pengggantian kartu  proses ya  kalok dapet informas,0.0
min knpa kartu atm ganti kartu atm chip ,0.0
min cc bca gimana ya,0.0
min  pake mbanking ganti kartu chip mbanking  btw pake tahap expresi min,0.0
min kalo bank bca vaksin gak   ,0.0
min kenaoa barusan ga cek saldo loading bca mobile nya dah update trbaru,1.0
min kartu sy chip ganti dr bca mobile tdk cbang   ,0.0
ayo m banking knapa wuy,0.0
min  kalo pas transfer uang atm bca  uang gk masuk pemberitahuan gimana ya  adu  terimakasih ,1.0
min buka tabung anak via online ga min ,0.0
min knp flazz bca susah baca mobile banking  hp kartu,1.0
kalo kartu debit gagal kirim kendala nya min ,0.0
min atm hilang ktp  atm blokir mbanking   urus cabang bawa buku tabung surat hilang ,0.0
min  datfar bca online buka rek  saldo rupiah  trus suami tf rb rek  pas sya cek  saldo rb ya ,1.0
kartu udah hri gk dteng,0.0
tahap xpresi ganti nggak min ,0.0
kalo gk ganti resiko ,0.0
min klo ga ganti  tp pke mbanking rekening blokir otomatis  atm nya aja  soalny cabang bca dsni,0.0
viral ali keve,0.0
tutor gimana ganti chipnya  tanggal november gabisa transaksi ,0.0
emang versi bts ka  nanya aja soalbya rame,0.0
motorny alay bg,0.0
b,0.0
email pemberitahuan ambil kartu kirim,0.0
                                   ,0.0
 cute ,0.0
bayi,0.0
b,0.0
anjir ali kece,0.0
reply to icha wincana aktivasi kartu atm laku mesin atm bca minta kode aktivasi sms ,0.0
transaksi pakai m bangking gak,0.0
tarik atm k tuh,0.0
bsa ngajukan kartu kredit,0.0
tukang pick main lo liat fidio baru yaa,0.0
yok mmm,0.0
kali ya pancingantan ya gua buang,0.0
kalimat  lho ,0.0
d ,0.0
bayar pake bca ku aja ya ,0.0
matre,0.0
duit nya bro,0.0
ielufliti,0.0
duet,0.0
kalo cewek  matreee  c,0.0
cewenya kilas remar,0.0
cowo good looking,0.0
tuh,0.0
y klo gue ganteng bilang,0.0
ku  ter duit duit lagi mati gk bawa shope,0.0
troma bca,0.0
ok,0.0
min nanya  transaksi debit online store mu trs cancel karna otoritas trs nanya uang  storenya,0.0
wehhh,0.0
min coleb bca nct,0.0
buatapa,0.0
ownow hp baja,0.0
bca tolong yah iri liat bri tolong yahh jugaa,0.0
min nanya kalo bikin atm bca ktp nya beda alamat domisili ga ya  sesuai alamat ktp kalo bikin atm nya ,0.0
minn ayoo cus bikin promo kaya tetangga min,0.0
iri smaa bri,0.0
hallo bca  nih  nomor telepon m-banking bca ganti nomor telepon yah  terimakasih,0.0
min ga kalo xpresi ganti tahap bca platinum,0.0
min kalo bca bekuin rek tipu gak sih,0.0
ayu ulang kasih promo besar kaya bri milik kaya indo kalah ama bri,0.0
yuk kayak bri yuk,0.0
ken nabung bri,0.0
horor min,0.0
min debit card status dormant transaksi online negeri ga ,0.0
hahahahhaha lucu banget bibir,0.0
min min transaksi debit online online shop tulis  kartu blokir  cek kartu blokir,0.0
bg hp nya kek,0.0
smg dapet,0.0
dapet y,0.0
min  hr aq tarik tunai tp pas masukin kartu  kartuny lg lg  sy mesinny rusak  sy coba atm lg jg,1.0
angapu,0.0
cinaaa,0.0
 btc  crypto,0.0
hdr bagi,0.0
o,0.0
smg rejeki ,0.0
kaka,0.0
nek,0.0
malam teman ,0.0
                                                          ,0.0
bca mobile ,0.0
makco,0.0
kak komplain ga nanya gin saldo pas tanggal gaji gajih  kena potng rb,1.0
teruss sisain atm rb pas tanggal skrng keptong saldo ku rb   ,1.0
duit sayaa rekinggg ajaa hilaang,1.0
selamat ya mak coo,0.0
mbanking lg masalah gmn malam ,1.0
eror ya kak bca udh atm gabisa,1.0
iya bca eror,1.0
error yh mbca,1.0
m banking gak,1.0
malam eror m banking ya,1.0
mbanking knp gak bs ya ,1.0
bgt errornya,1.0
min mbanking sampe pelihara nyaa  aduh urgent,1.0
wewwww,0.0
min ganggu  co shopee,1.0
jm,1.0
woi transaksi gmna ahhh,1.0
m banking bca error trus brp ne,1.0
m-banking miin sampe skrng ganggu,1.0
woy bank bca lu udah eror udah jam  rugi bca eror  customer dapet kovensasi,1.0
pelihara nya jam yahh bca  ,1.0
aneh bgt pelihara jam ramai transaksi,1.0
cepet min lama pelihara nya gua wd habis max win nih,1.0
kredit ksm bca syarat aja min,0.0
bayar dp awal pas motor dtg kak  ,0.0
bca mobile ganggu ya min ,1.0
bca ya eror ,1.0
mbking bca gk masuk akses pdhl sim card nya tpi slalu ingat gimana donq,1.0
atm gw ilang ngeuh eh pas buka mbanking bca malh eror smpe skrg  mu bikin atm ganggu  trmksih gr bca anak gw jd lapar ,1.0
minn sii kasir ga settlement mesin edisi ,1.0
tolong bca jgn eror nya,1.0
klik bca gk buka ya ,1.0
min dana masuk masuk rekening min,0.0
mbanking tlong d prbaikin dl  bangett  huffft,1.0
mbanking normal,1.0
gbsa buka mbanking,1.0
bikin atm bca xpresi biaya k ya ,0.0
sabtu tutup buka ya bank bca ,0.0
min tdi aja topup flazz dri mbanking bca nila rb problem jaring internet jdi saldo tdk masuk flazz tp,1.0
min nanya atm temen duit ilang juta yah  ga ngapa-ngapain ,1.0
nih buka cabang gayam-bojonegoro ,0.0
komen nihh,0.0
ganti devices nomor mbangking bca aktivasi gimana,0.0
cek mbanking tbtb suruh regist ulang  gmn ya  bank dekat  ,0.0
min  bca hadiah gk  nasabah yg bnyak tabung hihi  kyk bsi gtu  lovely ,0.0
min ade ngetaq atm lupa konci,0.0
min rame mesin atm lupa konci  kasih harga,0.0
min kalo ganti nomor m banking gmn  kcp gimana ,0.0
april,0.0
min approve kredit yamaha fazzio via ksm bca unit turun min,0.0
ka aktivasi kartu ya  pin otomatis nahh karna lupa aktifasi mobilbanking ganti pin ,0.0
kak uang  uang tarik klik ovo pedahal tdk taut kartu atm ovo  sy,1.0
bca gak aman dah titik,0.0
bankbca,0.0
minggu yg yg tlpn nawarin kartu kredit  udah d bilang gminat tp dya bilang gpp kl g d  bca,0.0
aplikasi crash kali transfer ,1.0
tampil aplikasi user-friendly ,1.0
gagal login password ,1.0
fitur scan qr error ,1.0
notifikasi lambat masuk aplikasi ,1.0
aplikasi support ponsel ,1.0
logout otomatis alas ,1.0
butuh muat halaman utama ,1.0
fitur fingerprint perangkat ,1.0
update versi baru ,1.0
aplikasi freeze ,1.0
bug aplikasi ,1.0
tombol back aplikasi fungsi ,1.0
cek saldo ,1.0
aplikasi update minggu ,1.0
lambat cek transaksi ,1.0
aplikasi berat lag ponsel ,1.0
terkadang masuk halaman bayar ,1.0
sulit akses fitur-fitur aplikasi ,1.0
loading aplikasi ,1.0
aplikasi force close kali transfer ,1.0
aplikasi butuh baik ,1.0
dark mode aplikasi  mata cepat lelah ,1.0
proses otentikasi aplikasi lambat ,1.0
error hubung internet ,1.0
login update baru ,1.0
transaksi pending jam sibuk ,1.0
aplikasi suka hang notifikasi masuk ,1.0
popup ganggu ,1.0
fitur cari aplikasi fungsi ,1.0
aplikasi rumit ,1.0
ui aplikasi bingung konsisten ,1.0
gagal ubah limit kartu kredit aplikasi ,1.0
aplikasi pilih bahasa inggris ,1.0
aplikasi makan baterai ,1.0
fitur ganti tema aplikasi ,1.0
proses verifikasi aplikasi lambat ,1.0
fitur atur sembunyi sulit temu ,1.0
aplikasi deteksi lokasi salah ,1.0
aplikasi jaring g ,1.0
susah aktif fitur notifikasi transaksi ,1.0
maintenance aplikasi ,1.0
verifikasi ulang kali login ganggu ,1.0
tombol aplikasi respons ,1.0
proses top-up e-wallet lambat ,1.0
aplikasi habis data internet ,1.0
bayar tagih listrik aplikasi ,1.0
fitur split bill error ,1.0
sulit temu menu atur aman aplikasi ,1.0
tampil update baru bingung ,1.0
aplikasi henti transaksi ,1.0
sulit pulih sandi aplikasi ,1.0
proses verifikasi wajah gagal aplikasi ,1.0
update aplikasi fitur hilang ,1.0
hubung rekening aplikasi ,1.0
aplikasi butuh izin ,1.0
fitur blokir kartu debit ,1.0
aplikasi logout bayar ,1.0
delay transfer ,1.0
proses aktivasi layan bingung ,1.0
aplikasi deteksi lokasi salah ,1.0
transaksi negeri aplikasi ,1.0
tombol transfer lambat respons ,1.0
aplikasi notifikasi transfer ,1.0
gagal hubung aplikasi perangkat wearable ,1.0
kartu aplikasi ,1.0
tampil antarmuka aplikasi tinggal zaman ,1.0
alami error bayar qris ,1.0
aplikasi opsi simpan favorit transaksi ,1.0
sulit temu riwayat transaksi aplikasi ,1.0
kali update  aplikasi lambat ,1.0
sinkronisasi e-wallet ,1.0
fitur ingat bayar tagih ,1.0
aplikasi otentikasi ulang alas ,1.0
fitur live chat aplikasi lambat respons ,1.0
ganti pin aplikasi ,1.0
proses ganti nomor telepon repot aplikasi ,1.0
aplikasi freeze akses halaman promo ,1.0
ubah alamat aplikasi ,1.0
proses daftar rekening aplikasi ,1.0
aplikasi dukung bayar cicil ,1.0
gagal tutup kartu debit aplikasi ,1.0
fitur limit transaksi hari ,1.0
aplikasi blokir akses alas ,1.0
verifikasi ulang aplikasi ,1.0
detail transaksi kartu kredit aplikasi ,1.0
aplikasi crash koneksi internet stabil ,1.0
fitur otomatis bayar tagih bulan ,1.0
ubah setor bulan aplikasi ,1.0
login malam ,1.0
proses aju pinjam aplikasi gagal ,1.0
aplikasi muat ulang pemberitahuan ,1.0
layan lambat cabang ,1.0
antri bank ,1.0
aju kartu kredit tolak alas ,1.0
transfer bank ,1.0
pemberitahuan ganggu sistem ,1.0
limit transfer hari rendah ,1.0
ganti kartu atm butuh minggu ,1.0
tugas bank ramah bantu ,1.0
bunga kredit ,1.0
sulit informasi kait produk bank ,1.0
informasi biaya admin ,1.0
layan kena biaya tambah ,1.0
layan customer service cabang ,1.0
bayar virtual account error ,1.0
layan buruk cabang x ,1.0
sulit daftar layan mobile banking ,1.0
teknis transfer internasional ,1.0
proses klaim asuransi belit ,1.0
pandu produk bank ,1.0
tipu promo tawar ,1.0
cs cabang  selesai online ,1.0
proses buka rekening ,1.0
biaya administrasi ubah pemberitahuan ,1.0
notifikasi ubah sistem ,1.0
aju pinjam tunda alas ,1.0
proses aktif kartu kredit ,1.0
solusi muas customer service ,1.0
layan libur batas ,1.0
jelas fitur bank ,1.0
proses verifikasi data makan ,1.0
tunggu cetak buku tabung ,1.0
nomor hotline hubung ,1.0
layan cabang antri ,1.0
harga langgan setia bank ,1.0
sulit hubung cs jam kerja ,1.0
layan bantu nasabah daerah pencil ,1.0
cs solusi pada ,1.0
proses klaim garansi kartu bingung ,1.0
cabang informasi sederhana ,1.0
approval pinjam ,1.0
proses refund bingung ,1.0
customer service prosedur ,1.0
syarat aju kartu kredit ketat ,1.0
miskomunikasi cs uang ,1.0
layan call center kecewa ,1.0
proses klaim asuransi rumit ,1.0
kembali dana sesuai janji ,1.0
hubung keluh ,1.0
jelas syarat produk pinjam ,1.0
proses tutup rekening rumit ,1.0
layan cabang konsisten ,1.0
cs tahu produk bank ,1.0
solusi konkret hadap ,1.0
bayar tagih lambat proses ,1.0
antri bank ,1.0
proses blokir kartu kredit rumit ,1.0
customer service informasi ,1.0
sulit refund transaksi gagal ,1.0
proses verifikasi identitas cabang lambat ,1.0
cs alternatif solusi sistem down ,1.0
kirim kartu kredit makan ,1.0
prioritas langgan ,1.0
teknis transfer ,1.0
cs langsung selesai transfer ,1.0
bantu saldo hilang misterius ,1.0
proses reset pin ribet ,1.0
jelas potong biaya rekening ,1.0
limit kartu kredit potong pemberitahuan ,1.0
aju tambah limit kartu kredit tolak alas ,1.0
proses ganti kartu debit makan ,1.0
bunga tabung rendah ,1.0
layan nasabah vip ,1.0
biaya admin ubah ,1.0
kompensasi ganggu layan ,1.0
aju pinjam sulit ,1.0
customer service tanggap keluh nasabah ,1.0
sulit customer service ,1.0
proses buka rekening bisnis ,1.0
nomor hotline hubung darurat ,1.0
antri teller ,1.0
proses pulih rekening ,1.0
syarat buka rekening rumit ,1.0
sulit informasi promo diskon baru bank ,1.0
proses klaim hadiah ribet ,1.0
pemberitahuan ubah suku bunga kredit ,1.0
layan cabang profesional ,1.0
abai cabang bank ,1.0
sulit tutup rekening ,1.0
dukung pada customer service jam kerja ,1.0
salah cetak buku tabung ,1.0
limit transfer hari ,1.0
proses reset password cabang bingung ,1.0
aju kartu kredit tolak ,1.0
bunga kartu kredit masuk akal ,1.0
tipu biaya sembunyi kartu kredit ,1.0
limit kartu kredit langgan ,1.0
pemberitahuan kartu kredit blokir ,1.0
biaya tahun kartu kredit ,1.0
sulit informasi detail program reward kartu kredit ,1.0
bayar tagih kartu kredit lambat proses ,1.0
bunga lambat bayar kartu kredit ,1.0
sulit hubung cs kait kartu kredit ,1.0
program poin kartu kredit bingung ,1.0
tambah limit kartu kredit rumit ,1.0
tutup kartu kredit lunas tagih ,1.0
